34	14
18	32
-44	18
89	18
29	26
-64	21
-87	17
91	20
62	20
-10	24
-20	15
-91	16
51	23
95	28
15	28
48	17
30	22
3	26
68	20
-43	21
-83	22
-27	15
1	22
44	12
-22	24
-61	8
-76	21
70	22
-31	20
-13	32
-94	24
33	18
-89	16
-72	21
12	22
-14	22
40	17
-42	21
82	19
-93	19
-99	17
87	17
-75	19
58	16
-12	13
-100	26
-24	33
23	16
6	17
84	21
64	27
20	17
13	19
-77	35
-46	16
75	16
90	23
97	13
19	19
-35	19
-96	25
-36	9
42	25
-48	20
45	18
74	15
-92	17
-23	28
-5	15
24	26
73	27
-65	18
-82	14
-28	24
98	32
-90	26
-73	24
-95	15
-29	22
57	17
35	20
-63	19
-52	23
21	22
78	23
67	23
59	20
99	25
-62	27
26	17
-33	24
77	23
-81	23
-68	19
71	23
92	23
-38	17
7	18
16	22
-41	18
88	22
-80	19
94	23
-21	20
-26	27
86	19
27	21
100	11
-4	16
8	17
-18	19
-60	17
-7	21
93	17
-32	16
66	24
-56	18
-74	24
-57	13
80	22
-8	18
96	18
-54	18
52	35
25	13
9	18
60	19
36	19
-25	21
43	21
54	23
47	20
37	28
-69	17
-11	18
22	14
-2	21
-3	18
-37	17
-6	18
-15	21
-16	19
69	25
11	21
-84	26
63	23
38	16
-53	20
-40	18
-71	18
83	21
-86	29
17	21
28	15
10	20
-45	21
-58	16
41	20
-30	27
76	16
-97	11
32	21
-88	21
-17	20
-98	17
-66	14
-78	27
-49	22
31	19
0	23
-39	22
-51	22
39	17
-67	27
4	19
56	13
85	16
-55	24
-70	14
-19	13
-79	17
61	13
-85	22
65	19
-50	18
72	19
5	16
-1	15
14	9
-59	15
2	21
79	17
49	18
55	18
-34	16
46	14
53	21
-9	22
-47	19
50	15
81	13
